asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,product_badge,category,country,discount_percent,performance_category,sales_volume_previous_month,growth_rate,adjusted_growth_rate,sales_volume_next_month
1259587541,"Practical Electronics for Inventors, Fourth Edition",759.04,922.0,MXN,4.7,2054,12,18.39,1,False,1,False,100.0,False,Más vendido,electronics,MX,17.674620390455537,High,91,0.0989010989010989,0.11868131868131868,111.86813186813187
1259587541,"Practical Electronics for Inventors, Fourth Edition",759.04,922.0,MXN,4.7,2056,1,18.39,1,False,1,False,100.0,False,Más vendido,electronics,MX,17.674620390455537,High,109,-0.08256880733944955,-0.09908256880733946,90.09174311926606
1259587541,"Practical Electronics for Inventors, Fourth Edition",759.04,922.0,MXN,4.7,2059,1,18.39,1,False,1,False,100.0,False,Más vendido,electronics,MX,17.674620390455537,High,102,-0.0196078431372549,-0.023529411764705882,97.6470588235294
1259587541,"Practical Electronics for Inventors, Fourth Edition",759.04,922.0,MXN,4.7,2055,1,18.39,1,False,1,False,100.0,False,Más vendido,electronics,MX,17.674620390455537,High,98,0.02040816326530612,0.024489795918367346,102.44897959183673
1259587541,"Practical Electronics for Inventors, Fourth Edition",759.04,922.0,MXN,4.7,2054,1,18.39,1,False,1,False,100.0,False,Más vendido,electronics,MX,17.674620390455537,High,85,0.17647058823529413,0.21176470588235294,121.17647058823529
1259587541,"Practical Electronics for Inventors, Fourth Edition",759.04,922.0,MXN,4.7,2056,1,18.39,1,False,1,False,100.0,False,Más vendido,electronics,MX,17.674620390455537,High,85,0.17647058823529413,0.21176470588235294,121.17647058823529
1718502346,Open Circuits: The Inner Beauty of Electronic Components,619.16,687.96,MXN,4.8,1078,11,300.06,0,False,1,False,100.0,False,Más vendido,electronics,MX,10.000581429152868,High,82,0.21951219512195122,0.2634146341463415,126.34146341463415
1718502346,Open Circuits: The Inner Beauty of Electronic Components,619.16,687.96,MXN,4.8,1083,49,300.06,0,False,1,False,100.0,False,Más vendido,electronics,MX,10.000581429152868,High,106,-0.05660377358490566,-0.06792452830188679,93.20754716981132
1718502346,Open Circuits: The Inner Beauty of Electronic Components,619.16,687.96,MXN,4.8,1080,1,300.06,0,False,1,False,100.0,False,Más vendido,electronics,MX,10.000581429152868,Medium,98,0.02040816326530612,0.02040816326530612,102.04081632653062
1718502346,Open Circuits: The Inner Beauty of Electronic Components,619.16,687.96,MXN,4.8,1079,1,300.06,0,False,1,False,100.0,False,Más vendido,electronics,MX,10.000581429152868,Medium,101,-0.009900990099009901,-0.009900990099009901,99.00990099009901
